ward_code,ward_name,Borough,Zone,mode_share,PTAL_bus2015,PTAL_LUL2015,PTAL_rail2015,PTAL_tram2015,PTAL_AI2015,speed_weekday_allday,speed_weekday_AM,speed_weekday_IN,change_weekday_allday,change_weekday_AM,change_weekday_IN,weekday_boardings_allday,weekend_boardings_ratio,alightings_boardings_ratio,2013_population,pop_0to15_perc,pop_16to64_perc,pop_65plus_perc,area_km,2013_pop_density,2014_med_house_price,2014_mean_income,2011_cars_own_density,2011_cars_per_household,2011_ethnic_white,2011_ethnic_mixed,2011_ethnic_asian,2011_ethnic_black
E05000628,West Hill,Wandsworth,Inner,0.233970985,5.231505341,2.614146109,0,0,7.84565145,19.91069734,18.63275613,19.59027259,-1.18717661,-1.473492203,-1.004050541,14998.68756,76.41969552,83.74926915,16653,18.6746988,71.98795181,9.337349398,1.68568,9879.099236,395000,48422.25998,3052.773955,0.768289042,67.26115415,5.08617066,14.47186693,8.647090614
E05000062,West Hendon,Barnet,Outer,0.184825768,7.164405085,1.874012314,1.159010785,0,10.19742818,19.88797237,19.33794453,18.62933108,-0.414205046,-0.06709072,-0.548512817,162229.0069,89.91479013,124.5405775,18379,20.33426184,67.96657382,11.42061281,3.42865,5360.418824,346250,35724.99309,1648.753883,0.908258355,46.73268404,3.977365471,30.31720986,8.656618967
E05000305,West Harrow,Harrow,Outer,0.076841904,5.28619407,5.076465805,0.14648389,0,10.50914376,21.55996163,20.00990136,21.09902295,-1.248419976,-1.58412395,-1.147685869,4236.274823,73.86161101,88.10887824,10606,20.28301887,66.50943396,13.67924528,1.51462,7002.416448,363500,41895.43539,2689.123344,1.105891936,43.27739016,4.384310767,39.06279464,8.165189515
E05000145,West Hampstead,Camden,Inner,0.109962573,9.374123522,8.472690201,7.948011707,0,25.79482543,13.95363031,12.89379868,12.9134536,-0.446845028,-0.380271541,-0.447435209,42192.28637,79.29805238,112.9508098,12372,12.95546559,78.13765182,8.906882591,0.88729,13943.58102,622500,53628.21958,3168.073572,0.479856606,67.76592305,5.601357905,12.63336566,7.977691562
E05000494,West Ham,Newham,Outer,0.159810023,8.424698584,6.170944602,2.004742562,0,16.60038575,18.87900172,18.42240611,18.14923125,-0.017887202,-0.215973824,-0.061243683,38894.96515,82.12851311,50.54053595,15954,20.68965517,72.10031348,7.210031348,1.337,11932.68512,273500,31760.80371,2192.969334,0.542962963,33.60285822,6.430989094,28.56336969,25.31026702
E05000282,West Green,Haringey,Outer,0.104500025,8.719032977,2.613475368,0.027825755,0,11.3603341,13.59917349,13.08814861,13.00123187,-0.032098201,-0.330319381,0.047176497,65547.90146,86.72370294,93.22655641,13756,18.54545455,71.27272727,9.818181818,1.39911,9831.964606,350000,28778.66457,2001.986977,0.538446751,50.77057284,6.157313172,11.70398372,23.11718523
E05000061,West Finchley,Barnet,Outer,0.187697396,7.312442461,4.264602578,0,0,11.57704504,16.61441223,15.15183796,15.45686032,0.022179993,-0.400991972,-0.309345244,93581.42317,77.85235093,126.4079925,17051,17.96407186,68.86227545,13.17365269,2.16344,7881.429575,385000,47524.97617,2853.326184,0.923410621,58.95841886,4.973315348,24.37980177,4.117060583
E05000649,West End,Westminster,Inner,0.156039836,32.42279418,31.8737254,1.253001861,0,65.54952144,10.51687652,11.26896033,8.975359246,0.144971614,0.013314378,0.343028924,594686.34,110.1743372,174.6267929,10972,8.675799087,80.3652968,10.95890411,1.99973,5486.74071,1487500,85825.84573,1205.662764,0.408644068,65.1932191,4.848705797,14.69194313,3.982865476
E05000342,West Drayton,Hillingdon,Outer,0.068511138,3.460860365,0,0.756923035,0,4.217783399,19.95450901,19.05112311,19.44174766,-0.529089627,-0.530165163,-0.53690167,12809.98985,71.33121909,40.18163835,14951,23.15436242,65.43624161,11.40939597,3.4907,4283.095081,249997,33360.1689,1719.998854,1.114534992,63.89539161,4.059929102,17.8850913,7.825563507
E05000473,West Barnes,Merton,Outer,0.070870387,3.455826891,0,3.364199227,0,6.820026118,19.03836474,17.22769003,18.81411739,-0.865313079,-1.296136758,-0.766653995,6743.688602,87.86586166,75.46492238,10074,20.68965517,65.51724138,13.79310345,1.95164,5161.812629,475000,54163.67033,2098.23533,1.132780083,68.53285686,3.920984713,20.27992853,3.186420488
